schema_version,timestamp,unit,target_value
1,2020-07-27,shares,1054.7410882296326
1,2020-07-28,shares,1072.3572813805554
1,2020-07-29,shares,-1052.1885420527422
1,2020-07-30,shares,-1039.6090805893741
1,2020-07-31,shares,941.0878786901881
1,2020-08-03,shares,917.9575444635685
1,2020-08-04,shares,911.8679539065331
1,2020-08-05,shares,908.5746734809767
1,2020-08-06,shares,877.9438837174472
1,2020-08-07,shares,899.9887254220037
1,2020-08-10,shares,887.0949784909653
1,2020-08-11,shares,914.2857142857143
1,2020-08-12,shares,884.8774277470832
1,2020-08-13,shares,869.489593449003
1,2020-08-14,shares,870.2652040786245
1,2020-08-17,shares,872.5432593650015
1,2020-08-18,shares,865.3326122228232
1,2020-08-19,shares,864.2482371602873
1,2020-08-20,shares,845.4872010981942
1,2020-08-21,shares,804.0524064613982
1,2020-08-24,shares,794.5494027361373
1,2020-08-25,shares,801.1215897843306
1,2020-08-26,shares,790.3732594882991
1,2020-08-27,shares,799.9359914499029
1,2020-08-28,shares,801.2338825739271
1,2020-08-31,shares,774.953543110161
1,2020-09-01,shares,745.2675917312779
1,2020-09-02,shares,761.0350429603445
1,2020-09-03,shares,827.2667295843477
1,2020-09-04,shares,826.7195829768881
1,2020-09-08,shares,886.3676677051759
1,2020-09-09,shares,852.3695896703252
1,2020-09-10,shares,-881.1349183391247
1,2020-09-11,shares,-892.8571428571429
1,2020-09-14,shares,-866.8515904205598
1,2020-09-15,shares,-865.5011182933189
1,2020-09-16,shares,-891.8220141751747
1,2020-09-17,shares,-906.2896802513317
1,2020-09-18,shares,-935.9790661517944
1,2020-09-21,shares,-908.4302174474437
1,2020-09-22,shares,-894.3744046465545
1,2020-09-23,shares,-933.5324629945528
1,2020-09-24,shares,-924.0436044355673
1,2020-09-25,shares,-890.630576123936
1,2020-09-28,shares,-869.8677870249455
1,2020-09-29,shares,-876.5010361104625
1,2020-09-30,shares,-863.4833098015158
1,2020-10-01,shares,856.2376848710591
1,2020-10-02,shares,884.7991768732268
1,2020-10-05,shares,858.3690987124463
1,2020-10-06,shares,883.7044606201626
1,2020-10-07,shares,868.960709149161
1,2020-10-08,shares,869.7921104483088
1,2020-10-09,shares,854.9200560519486
1,2020-10-12,shares,803.8585110402673
1,2020-10-13,shares,825.7638419489316
1,2020-10-14,shares,825.1505733597842
1,2020-10-15,shares,828.4317849262857
1,2020-10-16,shares,840.1949489201702
1,2020-10-19,shares,862.2175987721398
1,2020-10-20,shares,850.9913895165199
